Ticker,Broker_Score_ct,Broker_Score_wtg,Benchmark,1_Yr_Return,3_Yr_Return,5_Yr_Return,7_Yr_Return,1_Yr_Return_BM,3_Yr_Return_BM,5_Yr_Return_BM,7_Yr_Return_BM,AUM,AUM_2016,Num_of_Holdings,Turnover_2005,Turnover_2004,Turnover_2003,3_yr_Turnover_Avg,Net_Expense_Ratio,Avg_Mkt_Cap_M,P_E,P_B,P_S,P_C,Debt_to_Capital,Net_Margin,ROA,ROE
BTAEX,6920,1692,MSCI_EAFE,29.46,-5.40,3.19,2.80,29.41,-5.78,3.34,2.82,308910126.00,60158848.00,1101.00,12.00,12.00,,12.00,1.18,27736.94,16.84,3.05,1.16,9.31,1.91,10.95,5.39,17.17
CAMIX,351,859,MSCI_EAFE,30.95,-6.76,5.28,4.83,29.41,-5.78,3.34,2.82,30171139.00,3135430997.00,40.00,63.00,76.00,95.00,78.00,0.40,18979.81,13.85,2.64,0.98,7.72,7.01,7.82,5.19,16.86
CIHIX,102,168,MSCI_EAFE,N/A,N/A,N/A,,29.41,-5.78,3.34,2.82,808247.00,211160645.00,49.00,,,,,1.75,13866.02,15.74,2.46,2.09,8.39,22.84,18.29,10.15,21.10
CWVGX,1826,1334,MSCI_EAFE,29.82,-9.88,-1.32,-0.77,29.41,-5.78,3.34,2.82,438417787.00,235584450.00,254.00,49.00,72.00,71.00,64.00,1.85,19930.29,15.48,3.14,1.06,8.86,3.24,11.10,6.67,20.50
DEGIX,850,1848,MSCI_EAFE,25.32,-8.21,2.72,1.72,29.41,-5.78,3.34,2.82,910533300.00,281478253.00,57.00,14.00,7.00,,10.50,1.96,35500.24,14.36,3.01,1.15,8.40,1.45,12.39,6.15,19.33
DIERX,0,0,MSCI_EAFE,31.98,-8.95,0.75,1.62,29.41,-5.78,3.34,2.82,48637000.00,619155270.00,,,80.00,,80.00,1.70,,,,,,,,,
DIISX,6894,1747,MSCI_EAFE,28.67,-5.97,2.88,2.48,29.41,-5.78,3.34,2.82,231252000.00,555571457.00,1145.00,3.00,14.80,,8.90,1.19,27523.24,16.83,3.05,1.16,9.29,1.91,10.91,5.37,17.16
DODFX,615,902,MSCI_EAFE,30.42,-7.20,5.79,4.37,29.41,-5.78,3.34,2.82,13357244847.00,58608047188.00,75.00,7.00,6.00,12.00,8.33,0.60,21600.76,17.28,2.23,0.89,7.66,7.85,6.41,5.40,13.63
DPIEX,775,1791,MSCI_EAFE,32.47,-1.57,3.41,3.20,29.41,-5.78,3.34,2.82,1962812241.00,583276356.00,60.00,6.00,9.00,,7.50,0.77,34928.89,14.35,3.01,1.15,8.41,1.43,12.42,6.16,19.28
EGLBX,1528,1771,MSCI_EAFE,31.09,-2.43,4.52,3.45,29.41,-5.78,3.34,2.82,287092923.00,217008972.00,102.00,42.00,38.00,44.00,41.33,0.88,35503.32,18.11,3.36,1.50,11.48,3.32,11.78,6.80,18.80
ETIGX,0,0,MSCI_EAFE,31.44,-4.11,2.04,1.40,29.41,-5.78,3.34,2.82,52787577.00,34360972.00,87.00,38.00,62.00,,50.00,0.31,31911.14,16.87,3.04,1.34,9.67,5.34,12.39,5.44,19.88
FAERX,2187,1376,MSCI_EAFE,23.65,-5.65,3.48,2.32,29.41,-5.78,3.34,2.82,1107925028.00,586692282.00,,120.00,85.00,,102.50,2.08,,,,,,,,,
FDIVX,1789,673,MSCI_EAFE,26.48,-6.23,3.39,2.85,29.41,-5.78,3.34,2.82,33094247565.00,18585191661.00,,41.00,,,41.00,1.43,,,,,,,,,
FDVIX,1288,580,MSCI_EAFE,22.30,-7.03,1.65,1.79,29.41,-5.78,3.34,2.82,9653459841.00,1943098848.00,,59.00,,,59.00,1.12,,,,,,,,,
FGFAX,561,938,MSCI_EAFE,30.28,-5.36,8.26,6.73,29.41,-5.78,3.34,2.82,98859512.00,1630265729.00,53.00,28.00,,,28.00,0.98,14849.01,17.22,2.92,1.66,12.30,3.89,12.37,5.96,16.37
FIGRX,1873,1002,MSCI_EAFE,28.99,-4.29,4.67,3.81,29.41,-5.78,3.34,2.82,4687892048.00,9162955074.00,,75.00,87.00,,81.00,2.47,,,,,,,,,
FIREX,94,303,MSCI_EAFE,49.34,-10.88,1.72,2.87,29.41,-5.78,3.34,2.82,194177361.00,375561967.00,,36.00,,,36.00,1.06,,,,,,,,,
FOSFX,1742,1361,MSCI_EAFE,26.20,-6.02,1.93,2.09,29.41,-5.78,3.34,2.82,5371145676.00,5802969155.00,,87.00,,,87.00,0.86,,,,,,,,,
FSIIX,6947,1716,MSCI_EAFE,29.74,-4.78,3.47,3.09,29.41,-5.78,3.34,2.82,1753185795.00,16973087568.00,,6.00,31.00,19.00,18.67,1.01,,,,,,,,,
GCIIX,1561,1207,MSCI_EAFE,30.53,-5.42,3.08,2.02,29.41,-5.78,3.34,2.82,1360891960.00,950514222.00,259.00,73.00,99.00,122.00,98.00,0.47,19171.91,15.40,2.22,0.84,7.00,2.34,8.66,4.56,14.37
GIEYX,3756,1307,MSCI_EAFE,28.34,-6.23,4.16,3.13,29.41,-5.78,3.34,2.82,1297911430.00,1423042946.00,541.00,30.00,33.00,30.00,31.00,1.01,24023.40,17.42,3.12,1.35,9.77,1.63,12.23,6.95,16.97
GIGRX,768,1322,MSCI_EAFE,25.91,-6.67,5.76,4.91,29.41,-5.78,3.34,2.82,59254541.00,25966220.00,66.00,33.00,16.00,25.00,24.67,0.97,18002.92,18.95,3.48,1.48,10.87,2.54,9.86,7.43,19.07
GIXIX,6905,1713,MSCI_EAFE,29.64,-5.21,3.34,2.89,29.41,-5.78,3.34,2.82,1497572456.00,1503281142.00,1102.00,16.00,7.62,,11.81,1.84,27680.28,16.89,3.05,1.16,9.30,1.92,10.89,5.38,17.23
GMIEX,3537,1594,MSCI_EAFE,28.62,-4.27,3.09,2.96,29.41,-5.78,3.34,2.82,1117730142.00,142509643.00,354.00,,,,,0.36,27039.44,15.83,3.02,0.97,9.13,2.43,10.36,5.83,20.09
GMOFX,3767,1414,MSCI_EAFE,30.83,-3.78,2.60,2.19,29.41,-5.78,3.34,2.82,5171949019.00,145790832.00,420.00,23.00,25.00,22.00,23.33,0.55,22254.65,15.85,2.84,1.03,8.49,2.58,9.62,4.85,16.65
GMOIX,2908,1591,MSCI_EAFE,28.91,-3.86,2.45,2.12,29.41,-5.78,3.34,2.82,5990871688.00,5873898244.00,368.00,46.00,44.00,51.00,47.00,0.75,25450.53,14.39,2.68,0.89,8.23,2.88,10.24,5.18,20.88
GSISX,668,1556,MSCI_EAFE,25.61,-9.22,0.66,0.58,29.41,-5.78,3.34,2.82,417571620.00,271169703.00,50.00,49.00,78.00,62.00,63.00,0.69,24765.44,18.60,3.31,1.32,10.47,1.82,8.70,5.51,16.33
GTCIX,1176,1612,MSCI_EAFE,30.77,-8.56,2.61,1.58,29.41,-5.78,3.34,2.82,856595969.00,436644348.00,,47.00,38.00,,42.50,0.18,,,,,,,,,
GTMIX,2947,1554,MSCI_EAFE,29.42,-2.95,3.79,3.43,29.41,-5.78,3.34,2.82,724025265.00,115654965.00,413.00,44.00,36.00,48.00,42.67,0.14,24230.10,15.20,2.89,0.96,8.61,2.65,10.69,6.04,20.73
HAINX,1170,1623,MSCI_EAFE,35.66,-0.92,8.42,7.05,29.41,-5.78,3.34,2.82,11808575755.00,34976039023.00,86.00,13.00,12.00,,12.50,0.69,28886.56,17.61,3.02,1.37,9.30,3.08,13.83,6.57,17.87
HISIX,0,0,MSCI_EAFE,29.06,-2.63,4.10,2.63,29.41,-5.78,3.34,2.82,9411588.00,61367938.00,2.00,1.00,,,1.00,0.86,27783.30,16.87,3.07,1.16,9.26,2.00,10.89,5.39,17.24
ICEUX,240,601,MSCI_EAFE,28.13,-3.43,3.87,3.63,29.41,-5.78,3.34,2.82,179255000.00,618668560.00,38.00,139.00,,276.00,207.50,1.50,42900.94,17.19,2.35,1.57,10.45,10.35,14.55,6.52,13.43
IIBCX,996,1303,MSCI_EAFE,27.30,-5.03,3.20,1.94,29.41,-5.78,3.34,2.82,307583575.00,93979830.00,79.00,21.00,,,21.00,0.80,36202.40,15.89,2.42,1.24,8.07,6.34,11.96,7.24,16.77
IVIAX,631,790,MSCI_EAFE,31.76,-2.21,8.70,5.80,29.41,-5.78,3.34,2.82,69609016.00,4916574522.00,86.00,106.00,23.00,48.00,59.00,1.84,12971.49,16.56,2.76,1.31,8.98,2.97,11.13,4.80,17.64
JFTAX,1245,1776,MSCI_EAFE,29.24,-7.31,2.36,1.85,29.41,-5.78,3.34,2.82,2972586.00,2927774571.00,208.00,56.00,93.00,,74.50,2.16,17817.54,15.40,2.85,1.13,9.18,1.98,12.71,5.83,17.44
JIOSX,1274,1846,MSCI_EAFE,32.94,-4.07,4.61,3.84,29.41,-5.78,3.34,2.82,83786561.00,2982385569.00,84.00,58.00,,,58.00,1.69,32346.03,16.46,3.46,1.27,9.69,1.90,12.72,6.60,19.09
JVIAX,301,730,MSCI_EAFE,32.24,-2.15,5.11,6.36,29.41,-5.78,3.34,2.82,117469819.00,1374930336.00,,32.00,,98.00,65.00,1.20,,,,,,,,,
LISIX,345,769,MSCI_EAFE,29.76,-3.42,5.51,5.72,29.41,-5.78,3.34,2.82,135659595.00,6798433756.00,,12.00,,,12.00,1.25,,,,,,,,,
LLINX,164,705,MSCI_EAFE,18.31,-5.66,3.14,1.75,29.41,-5.78,3.34,2.82,2880730000.00,1132492790.00,23.00,17.00,18.86,16.00,17.29,1.64,15329.94,15.75,2.08,1.13,8.98,12.06,7.76,6.36,16.20
LMGEX,2114,1350,MSCI_EAFE,30.10,-7.81,0.13,-0.24,29.41,-5.78,3.34,2.82,281412502.00,359636282.00,206.00,18.86,,109.00,63.93,1.66,19832.39,16.95,3.24,0.97,9.85,2.30,9.00,4.73,16.88
LMGTX,0,0,MSCI_EAFE,0.19,-22.71,-6.11,-2.84,29.41,-5.78,3.34,2.82,729648554.00,129002652.00,31.00,20.00,,71.00,45.50,2.13,39486.61,21.61,3.24,2.52,16.17,30.24,14.82,10.98,19.53
LZIEX,1185,1986,MSCI_EAFE,25.89,-3.83,3.63,4.50,29.41,-5.78,3.34,2.82,1085049797.00,3438722477.00,64.00,60.00,58.00,58.00,58.67,1.87,40986.09,17.03,3.23,1.21,8.68,2.08,10.47,5.08,17.80
MAIIX,0,0,MSCI_EAFE,29.18,-5.48,2.92,2.61,29.41,-5.78,3.34,2.82,250336339.00,6450683433.00,,58.00,14.00,,36.00,0.90,,,,,,,,,
MAIQX,1138,1369,MSCI_EAFE,28.56,-5.03,4.22,3.54,29.41,-5.78,3.34,2.82,41355520.00,127975515.00,,,,,,0.58,,,,,,,,,
MINAX,1261,1373,MSCI_EAFE,27.42,-3.46,3.63,4.04,29.41,-5.78,3.34,2.82,74769203.00,32734567.00,231.00,64.00,,,64.00,1.60,21306.91,16.06,3.20,1.25,8.76,3.13,11.13,6.50,19.72
MIOFX,300,791,MSCI_EAFE,29.80,-7.41,4.17,2.91,29.41,-5.78,3.34,2.82,311860000.00,56441644.00,58.00,156.00,105.00,211.00,157.33,1.60,17036.31,20.92,4.03,1.56,12.81,10.57,10.70,5.82,17.79
MKIEX,1079,1543,MSCI_EAFE,28.95,-4.66,5.24,3.94,29.41,-5.78,3.34,2.82,243877522.00,171110765.00,71.00,27.00,13.00,,20.00,1.60,26276.88,15.28,2.82,1.12,9.27,2.47,11.15,5.93,15.74
MOSLX,1468,1389,MSCI_EAFE,29.99,-5.49,5.63,4.93,29.41,-5.78,3.34,2.82,848479517.00,627562404.00,,88.00,66.00,138.00,97.33,0.99,,,,,,,,,
MPITX,2845,1495,MSCI_EAFE,26.63,-7.00,1.64,1.17,29.41,-5.78,3.34,2.82,1967676000.00,1017923655.00,246.00,66.00,45.60,37.00,49.53,1.38,22081.56,15.42,2.47,0.92,7.90,2.47,8.42,3.97,14.44
MPPMX,111,69,MSCI_EAFE,27.72,-5.40,2.79,2.39,29.41,-5.78,3.34,2.82,313115093.00,73857782.00,246.00,11.00,31.00,307.00,116.33,1.10,40174.91,18.06,2.22,1.10,,,10.06,7.78,14.86
MSACX,6745,1435,MSCI_EAFE,28.10,-2.80,4.82,3.46,29.41,-5.78,3.34,2.82,793900733.00,231513741.00,930.00,31.00,24.00,42.00,32.33,1.08,27223.99,17.57,2.91,1.22,9.58,2.12,11.85,5.52,16.45
MSIQX,1350,1913,MSCI_EAFE,24.70,-2.22,3.71,4.10,29.41,-5.78,3.34,2.82,7907884529.00,4174237488.00,83.00,24.00,41.00,51.00,38.67,0.80,33222.15,16.56,3.35,1.20,8.69,2.53,9.22,6.23,21.96
MXIGX,921,1558,MSCI_EAFE,30.18,-2.18,6.21,5.82,29.41,-5.78,3.34,2.82,238752662.00,342100000.00,69.00,41.00,56.99,,49.00,0.98,27483.47,18.18,4.37,1.55,12.81,2.13,11.13,7.58,20.26
MXIVX,798,1616,MSCI_EAFE,38.87,-10.87,0.17,2.12,29.41,-5.78,3.34,2.82,334551487.00,1169400000.00,56.00,56.99,25.51,26.00,36.17,1.20,34163.65,11.55,2.58,0.94,7.21,1.71,8.76,4.60,16.49
NBIIX,338,347,MSCI_EAFE,27.56,-9.57,3.51,3.18,29.41,-5.78,3.34,2.82,174192576.00,1608254217.00,97.00,25.51,,,25.51,1.11,5289.63,15.48,3.32,1.39,10.16,3.47,13.60,8.39,23.05
NGRRX,53,100,MSCI_EAFE,20.64,-1.22,5.52,1.77,29.41,-5.78,3.34,2.82,297352640.00,262364409.00,55.00,24.00,,172.00,98.00,1.32,13233.50,15.65,1.81,1.13,7.03,13.17,10.74,6.07,11.24
NIEQX,1476,1256,MSCI_EAFE,30.11,-6.70,2.92,2.47,29.41,-5.78,3.34,2.82,1635513261.00,341118957.00,125.00,,86.00,,86.00,1.49,22509.79,15.26,3.33,1.28,10.34,6.80,11.25,6.16,19.34
NOIGX,1074,1910,MSCI_EAFE,29.12,-4.07,4.56,3.61,29.41,-5.78,3.34,2.82,1333655629.00,162903680.00,64.00,64.00,,182.00,123.00,1.25,25494.57,18.05,0.59,0.11,2.10,4.50,9.13,5.76,18.53
NOINX,6935,1708,MSCI_EAFE,29.53,-5.45,3.10,2.74,29.41,-5.78,3.34,2.82,874940607.00,4681516201.00,1091.00,,,,,1.25,27993.04,16.85,3.06,1.16,9.29,1.91,10.93,5.37,17.16
NWHLX,2913,1123,MSCI_EAFE,31.08,-4.16,4.95,3.88,29.41,-5.78,3.34,2.82,176313000.00,414110156.00,370.00,74.00,,39.00,56.50,1.45,16815.66,15.42,2.65,1.00,8.76,2.56,10.63,5.41,16.64
OIEAX,6649,1554,MSCI_EAFE,30.63,-4.60,3.45,2.65,29.41,-5.78,3.34,2.82,1090625300.00,1655541247.00,1266.00,14.00,13.00,11.72,12.91,1.35,22362.36,17.04,2.89,1.08,8.52,2.10,9.73,4.96,15.48
PCIEX,4921,1756,MSCI_EAFE,32.07,-5.39,1.96,2.20,29.41,-5.78,3.34,2.82,912504824.00,1092887893.00,546.00,39.00,117.00,14.00,56.67,0.80,26858.94,16.20,3.02,1.19,9.36,1.76,11.18,5.84,18.10
PIIFX,1661,1592,MSCI_EAFE,26.83,-7.24,1.55,1.08,29.41,-5.78,3.34,2.82,144597848.00,164818421.00,113.00,111.00,122.00,,116.50,1.30,24918.01,17.57,3.39,1.09,9.89,2.87,9.36,5.85,18.15
POVSX,2669,1620,MSCI_EAFE,30.65,-7.01,1.93,1.78,29.41,-5.78,3.34,2.82,6180203877.00,894090996.00,334.00,75.00,69.27,53.00,65.76,1.82,29544.50,15.05,3.11,1.28,8.77,2.20,11.55,5.65,17.50
QFVOX,340,783,MSCI_EAFE,34.58,-13.28,4.03,3.89,29.41,-5.78,3.34,2.82,338628199.00,1656103773.00,52.00,10.00,48.00,42.00,33.33,1.23,6789.83,12.55,2.43,0.86,7.30,2.68,9.63,6.91,18.13
SCIEX,584,1175,MSCI_EAFE,30.99,-6.56,6.52,4.52,29.41,-5.78,3.34,2.82,7157150.00,165775723.00,50.00,126.00,136.00,,131.00,1.81,22812.10,16.41,3.76,1.50,11.13,2.75,11.94,6.51,17.62
SCINX,1211,1616,MSCI_EAFE,29.97,-7.37,1.48,1.19,29.41,-5.78,3.34,2.82,1574298409.00,1106281053.00,94.00,57.00,82.00,104.00,81.00,1.25,30426.77,16.34,3.23,1.35,10.37,4.77,12.30,6.23,19.61
SEITX,5640,1593,MSCI_EAFE,29.54,-10.84,-0.72,-0.46,29.41,-5.78,3.34,2.82,3279045944.00,3754633203.00,748.00,80.00,44.00,87.00,70.33,1.17,27349.86,16.52,2.90,1.13,9.01,2.29,9.76,5.43,17.04
SGOVX,300,256,MSCI_EAFE,24.60,2.74,9.19,7.62,29.41,-5.78,3.34,2.82,9365695763.00,16971435380.00,289.00,19.00,5.88,,12.44,1.18,4668.78,18.37,2.18,1.31,11.21,2.16,16.69,6.39,14.09
SIEIX,1528,1767,MSCI_EAFE,30.24,-2.81,4.16,3.20,29.41,-5.78,3.34,2.82,861509429.00,1247128365.00,105.00,52.00,32.00,42.00,42.00,1.25,35463.63,18.02,3.35,1.50,11.45,3.27,11.77,6.81,18.92
SILAX,2951,1420,MSCI_EAFE,27.94,-7.22,2.05,2.28,29.41,-5.78,3.34,2.82,677673031.00,116745173.00,308.00,46.00,112.00,73.00,77.00,0.57,21228.93,15.76,2.83,0.97,8.61,2.65,10.42,4.72,16.53
SIMTX,1728,1764,MSCI_EAFE,27.96,-9.81,-0.71,-1.57,29.41,-5.78,3.34,2.82,2970788490.00,1359351575.00,,61.00,,28.00,44.50,1.50,,,,,,,,,
SITIX,0,0,MSCI_EAFE,25.26,-4.34,4.71,2.54,29.41,-5.78,3.34,2.82,5020867.00,1958961.00,17.00,16.00,16.99,,16.50,1.28,11564.11,15.00,2.61,1.11,8.51,3.98,12.48,7.30,18.06
SNGRX,940,1195,MSCI_EAFE,22.81,-7.07,2.17,2.38,29.41,-5.78,3.34,2.82,31911697.00,21480477.00,93.00,16.99,44.37,21.00,27.45,1.88,26032.17,21.07,1.48,0.30,5.23,7.24,11.00,7.46,17.58
SNIEX,1042,1394,MSCI_EAFE,N/A,N/A,N/A,,29.41,-5.78,3.34,2.82,29912000.00,1042650851.00,90.00,,,26.00,26.00,1.50,22176.23,17.97,2.90,1.29,8.94,2.92,11.73,4.70,17.68
SNIVX,1718,1738,MSCI_EAFE,28.54,-10.18,-0.84,-1.63,29.41,-5.78,3.34,2.82,6406338445.00,3286510841.00,,53.00,,28.00,40.50,1.22,,,,,,,,,
SSAIX,1612,1742,MSCI_EAFE,34.20,-4.76,2.62,1.71,29.41,-5.78,3.34,2.82,393861248.00,304677147.00,106.00,59.00,,70.00,64.50,1.24,25371.46,16.33,3.01,1.10,9.16,1.96,10.10,5.76,19.02
SSIFX,100,151,MSCI_EAFE,23.52,2.26,7.97,5.46,29.41,-5.78,3.34,2.82,6906896.00,65696684.00,59.00,5.00,7.00,,6.00,1.00,16625.93,18.89,2.48,1.68,9.48,22.32,12.47,8.39,17.74
SWISX,4759,1905,MSCI_EAFE,28.05,-4.74,3.40,3.14,29.41,-5.78,3.34,2.82,823836000.00,3262022409.00,,10.00,1.00,,5.50,1.10,,,,,,,,,
SWOIX,1981,855,MSCI_EAFE,28.16,-6.92,7.52,6.26,29.41,-5.78,3.34,2.82,1213572000.00,1543463028.00,,53.00,,,53.00,0.50,,,,,,,,,
SWRLX,964,1487,MSCI_EAFE,26.66,-5.75,4.50,3.00,29.41,-5.78,3.34,2.82,120321104.00,193660968.00,77.00,23.00,28.00,,25.50,1.65,31498.46,15.98,2.87,1.48,9.65,4.55,11.74,6.94,16.59
TAIEX,1682,1110,MSCI_EAFE,32.29,-4.47,4.94,3.88,29.41,-5.78,3.34,2.82,233357000.00,374709768.00,202.00,123.00,59.00,55.00,79.00,1.30,17537.36,15.54,2.74,0.99,8.22,4.64,9.96,5.22,17.05
TCIEX,6848,1658,MSCI_EAFE,29.61,-5.11,3.42,3.11,29.41,-5.78,3.34,2.82,286340930.00,9702153386.00,1170.00,59.00,7.00,9.00,25.00,1.00,29181.28,16.82,2.95,1.17,9.34,2.28,10.57,5.30,17.21
TGRBX,399,342,MSCI_EAFE,26.08,-2.70,7.20,3.85,29.41,-5.78,3.34,2.82,197606736.00,77297940.00,213.00,25.00,26.00,,25.50,0.15,7344.84,19.19,2.07,0.95,10.25,0.82,9.93,6.16,13.75
TGVAX,480,888,MSCI_EAFE,28.31,-0.91,7.62,5.42,29.41,-5.78,3.34,2.82,4689967270.00,5958915260.00,66.00,34.00,,58.00,46.00,2.51,23586.43,18.63,3.35,1.68,11.57,5.78,11.31,6.78,18.23
TIEUX,1821,1033,MSCI_EAFE,28.00,-8.02,3.79,2.92,29.41,-5.78,3.34,2.82,1024949058.00,1172261388.00,209.00,57.00,84.00,110.00,83.67,1.49,19880.82,17.84,2.81,1.18,9.45,6.99,10.90,6.59,15.93
TIIEX,1345,1278,MSCI_EAFE,32.88,-6.34,5.20,3.76,29.41,-5.78,3.34,2.82,936751455.00,4581414420.00,160.00,147.00,151.00,156.00,151.33,1.08,14368.96,17.13,3.05,1.04,10.04,3.12,9.44,4.66,14.60
TIVFX,141,274,MSCI_EAFE,21.10,-6.49,5.19,3.82,29.41,-5.78,3.34,2.82,237532284.00,751477526.00,55.00,35.00,43.00,,39.00,0.20,4936.96,18.69,2.24,0.81,8.70,7.14,6.66,6.05,14.13
TRIGX,1563,1140,MSCI_EAFE,33.39,-6.29,3.91,3.21,29.41,-5.78,3.34,2.82,1303190753.00,12893308537.00,200.00,27.00,45.80,,36.40,1.71,21371.32,15.41,2.77,1.06,9.24,3.19,9.84,5.18,16.00
TSWIX,0,0,MSCI_EAFE,31.16,-4.02,4.96,5.06,29.41,-5.78,3.34,2.82,64789919.00,4528958903.00,57.00,22.00,,,22.00,1.25,27181.50,16.24,3.12,1.17,10.33,4.43,9.88,6.46,18.91
TWIEX,1409,1733,MSCI_EAFE,28.89,-5.29,5.12,4.70,29.41,-5.78,3.34,2.82,2876950926.00,1579517471.00,96.00,89.00,118.00,,103.50,1.51,25876.68,18.53,3.91,1.40,11.66,2.97,11.01,6.97,20.16
UMBWX,435,482,MSCI_EAFE,24.54,-2.48,7.13,5.98,29.41,-5.78,3.34,2.82,,1236522351.00,80.00,19.00,12.00,12.00,14.33,1.26,23682.01,19.76,3.29,1.61,12.22,18.46,11.05,8.88,18.40
USIFX,913,1416,MSCI_EAFE,30.25,-2.04,6.32,5.93,29.41,-5.78,3.34,2.82,805249923.00,3898913262.00,,41.00,59.00,13.00,37.67,1.10,,,,,,,,,
VCFVX,0,0,MSCI_EAFE,N/A,N/A,N/A,,29.41,-5.78,3.34,2.82,2525821.00,861784482.00,,,,,,1.31,,,,,,,,,
VCIEX,6898,1524,MSCI_EAFE,27.93,-6.83,2.43,,29.41,-5.78,3.34,2.82,656122708.00,1059703870.00,1164.00,68.00,68.00,,68.00,0.67,27364.87,16.38,3.09,1.19,9.38,2.26,11.48,5.64,17.98
VCINX,2426,1577,MSCI_EAFE,30.25,-3.85,6.08,,29.41,-5.78,3.34,2.82,411206887.00,425938352.00,102.00,94.00,164.00,192.00,150.00,0.61,24429.80,18.71,3.81,1.42,11.86,3.28,11.10,6.89,19.86
VSIEX,1314,1806,MSCI_EAFE,25.79,-5.68,3.76,3.80,29.41,-5.78,3.34,2.82,2886289111.00,3695288212.00,86.00,22.00,,,22.00,1.06,37360.88,16.44,3.49,1.32,10.81,2.27,12.17,6.55,19.84
SNEMX,913,737,MSCI_EM,33.09,-7.19,11.28,6.42,36.38,-2.99,13.83,9.19,1890284933.00,1258413103.00,189.00,54.00,44.00,38.00,45.33,1.06,11259.15,11.28,2.43,1.18,7.88,3.78,13.61,9.90,24.20
AEMGX,943,903,MSCI_EM,36.64,-5.24,12.74,8.79,36.38,-2.99,13.83,9.19,800986333.00,1083831310.00,208.00,54.00,94.00,,74.00,1.72,8554.98,9.79,1.81,0.83,5.87,0.76,14.81,11.37,24.29
AOTIX,0,0,MSCI_EM,47.09,-1.61,13.78,9.51,36.38,-2.99,13.83,9.19,25530695.00,249935597.00,106.00,59.00,,,59.00,1.60,3887.48,11.13,3.14,1.46,9.39,4.18,13.26,10.57,24.87
TWMIX,328,369,MSCI_EM,47.38,-4.07,11.71,7.94,36.38,-2.99,13.83,9.19,371775917.00,734257618.00,104.00,153.00,,,153.00,1.94,5519.96,16.61,3.09,1.38,9.52,4.63,11.81,9.78,22.46
MADCX,506,570,MSCI_EM,33.65,-4.06,12.38,8.78,36.38,-2.99,13.83,9.19,217696977.00,331409019.00,104.00,110.00,183.00,78.00,123.67,2.00,8177.83,13.34,2.58,1.09,8.80,2.98,12.69,10.25,22.12
MEMKX,1191,690,MSCI_EM,32.20,-3.17,12.77,7.67,36.38,-2.99,13.83,9.19,1440501000.00,756973463.00,216.00,43.00,46.36,115.00,68.12,2.02,6821.04,11.45,1.88,0.90,6.28,6.11,12.32,7.86,17.69
BEMIX,0,0,MSCI_EM,30.72,-5.88,15.69,10.51,36.38,-2.99,13.83,9.19,,1506109819.00,,,,,,1.50,,,,,,,,,
EMRGX,1695,585,MSCI_EM,41.26,0.57,15.86,9.43,36.38,-2.99,13.83,9.19,,2472574225.00,,,,,,,,,,,,,,,
UMEMX,374,522,MSCI_EM,37.87,-6.89,11.05,7.91,36.38,-2.99,13.83,9.19,709940854.00,1266950129.00,79.00,21.00,,43.00,32.00,1.70,9025.30,13.10,2.73,1.30,7.89,5.92,15.86,11.05,22.13
TEMUX,1751,638,MSCI_EM,35.46,-4.53,11.97,7.81,36.38,-2.99,13.83,9.19,292634299.00,444327251.00,353.00,70.00,117.00,88.00,91.67,1.65,10996.71,12.76,2.39,1.20,8.08,5.82,14.74,9.70,20.85
DEMIX,497,680,MSCI_EM,30.23,-2.44,14.23,8.83,36.38,-2.99,13.83,9.19,1267495821.00,3104412426.00,94.00,25.00,,,25.00,1.64,6307.42,12.04,2.19,1.32,7.07,5.28,19.26,9.34,22.54
SEMGX,691,568,MSCI_EM,34.64,-6.46,8.85,4.50,36.38,-2.99,13.83,9.19,252780919.00,63407574.00,129.00,126.00,146.00,,136.00,1.76,9998.19,12.55,2.82,1.33,7.72,10.32,16.06,11.36,24.50
DFCEX,2241,435,MSCI_EM,35.21,-1.97,16.09,10.60,36.38,-2.99,13.83,9.19,264487881.00,22325990295.00,,2.00,,,2.00,1.76,,,,,,,,,
DFEMX,0,0,MSCI_EM,33.36,-1.86,14.33,9.84,36.38,-2.99,13.83,9.19,1939695468.00,5696838277.00,,,2.00,,2.00,0.69,,,,,,,,,
DFETX,0,0,MSCI_EM,33.68,-1.61,14.59,10.08,36.38,-2.99,13.83,9.19,36084368.00,69110506.00,,0.00,2.00,,1.00,0.74,,,,,,,,,
DEMSX,0,0,MSCI_EM,42.08,-2.73,18.67,12.47,36.38,-2.99,13.83,9.19,518226203.00,6507561740.00,,,11.00,,11.00,0.53,,,,,,,,,
DFEVX,0,0,MSCI_EM,42.33,-0.55,17.88,10.66,36.38,-2.99,13.83,9.19,2230144164.00,17992920840.00,,,8.00,,8.00,1.04,,,,,,,,,
DXELX,0,0,MSCI_EM,56.81,-27.54,1.04,-3.32,36.38,-2.99,13.83,9.19,29306214.00,6851267.00,,,,,,0.77,,,,,,,,,
DRFMX,941,655,MSCI_EM,31.60,-3.14,12.68,7.00,36.38,-2.99,13.83,9.19,1383875000.00,139809181.00,172.00,41.00,47.45,49.00,45.82,1.85,6662.00,11.32,1.87,0.91,6.23,6.45,12.56,7.88,17.67
